Value,Ref,Footprint,JLCPCB Part # (optional)
100nf,C1,Capacitor_SMD:C_1206_3216Metric,C24497
10nf,"C2, C9",Capacitor_SMD:C_1206_3216Metric,C1846
1nf,"C3, C7",Capacitor_SMD:C_1206_3216Metric,C9196
130k,R1,Resistor_SMD:R_0603_1608Metric,C22795
10k,R2,Resistor_SMD:R_1206_3216Metric,C17902
1k,"R3, R51, R66, R67, R68, R69",Resistor_SMD:R_1206_3216Metric,C4410
100k,"R4, R6, R16, R20, R24, R26, R36, R62, R64",Resistor_SMD:R_1206_3216Metric,C17900
20K,R5,Resistor_SMD:R_0805_2012Metric,C4328
470,R7,Resistor_SMD:R_0805_2012Metric,C17710
47k,"R8, R9, R40, R60",Resistor_SMD:R_0805_2012Metric,C17713
1.5M,R10,Resistor_SMD:R_0603_1608Metric,C4172
1M,"R11, R17, R19, R37",Resistor_SMD:R_1206_3216Metric,C17927
470,R12,Resistor_SMD:R_0805_3216Metric,C17710
4.7k,R34,Resistor_SMD:R_1206_3216Metric,C17936
24k,R38,Resistor_SMD:R_0805_2012Metric,C17575
5.6k,R39,Resistor_SMD:R_0805_2012Metric,C4382
1.8k,R46,Resistor_SMD:R_0805_2012Metric,C17398
1k,R50,Resistor_SMD:R_1206_3216Metric,C4410
20k,R54,Resistor_SMD:R_0805_2012Metric,C4328
470k,R55,Resistor_SMD:R_0805_2012Metric,C17709
2k,R58,Resistor_SMD:R_1206_3216Metric,C17944
