Designator,Mid X,Mid Y,Layer,Rotation
C1,188.7728,-98.1456,bottom,180
C2,179.324,-94.3864,bottom,90
C3,197.0024,-104.4956,bottom,-90
C7,182.88,-103.9132,bottom,-90
C9,188.6204,-92.456,bottom,-90
R1,196.9008,-94.1324,bottom,90
R2,189.2808,-40.0304,bottom,-90
R3,190.2968,-84.9884,bottom,-90
R4,196.9008,-141.5796,bottom,-90
R5,196.9008,-51.4604,bottom,90
R6,189.1284,-61.3664,bottom,0
R7,188.976,-88.7476,bottom,180
R8,186.9948,-46.6344,bottom,0
R9,186.3852,-134.874,bottom,-90
R10,196.85,-84.582,bottom,-90
R11,188.8236,-103.0224,bottom,180
R12,188.7728,-100.584,bottom,0
R16,186.7408,-55.9816,bottom,0
R17,194.564,-133.731,bottom,90
R19,179.2224,-139.7,bottom,-90
R20,186.055,-85.2825,bottom,-90
R24,182.245,-88.7075,bottom,-90
R26,196.9516,-136.906,bottom,90
R34,190.6016,-70.3072,bottom,0
R36,185.7248,-70.3072,bottom,180
R37,196.9516,-89.4588,bottom,-90
R38,179.324,-134.8232,bottom,-90
R39,182.8292,-133.6548,bottom,180
R40,191.008,-132.08,bottom,0
R46,191.008,-134.493,bottom,0
R50,187.7568,-65.3796,bottom,-90
R51,178.9176,-72.2884,bottom,-90
R54,179.07,-67.4731,bottom,-90
R55,179.2224,-84.4804,bottom,-90
R58,179.1208,-108.9152,bottom,90
R60,179.1208,-104.1908,bottom,90
R62,187.706,-108.966,bottom,-90
R64,188.8744,-105.4608,bottom,0
R66,196.9008,-109.3216,bottom,90
R67,196.85,-132.1816,bottom,90
R68,190.0936,-108.966,bottom,-90
R69,196.9008,-99.822,bottom,90
